utc_week,country,os,vertical,creative_format,cpm,cpi,ftd_rate,cftd,avg_user_spend,total_gross_spend
2025-04-28,GBR,ANDROID,Sportsbetting,Video,6.647436,19.7892912,,,149.8332048,1048.832433
2024-12-09,ESP,ANDROID,Sportsbetting,Statics,0.230505,11.24674131,0.05384615385,208.868053,208.868053,1462.076371
2025-04-28,DEU,ANDROID,Sportsbetting,Statics,0.181156,23.5190257,0.07407407407,528.7807425,282.0958631,1128.383453
2024-07-29,BRA,IOS,RMG,Video,14.270867,7.068577455,,,33.59963081,3740.10071
2024-11-11,CAN,ANDROID,RMG,Playables,94.860732,12.51418416,,,,745.6149615
2024-07-29,DEU,IOS,Sportsbetting,Statics,0.473897,11.02321473,0.04530744337,243.2980966,184.1174785,6812.346704
2025-02-17,ESP,ANDROID,RMG,Statics,0.19659,4.53805661,,,40.84250949,40.84250949
2025-05-12,USA,IOS,RMG,Statics,1.214227881,30.63537605,0.04199507389,469.4772079,363.2982308,493619.468
2025-07-21,CAN,ANDROID,RMG,Video,41.04168967,29.21502052,,,683.2300618,13716.65286
2024-10-07,GBR,ANDROID,RMG,Playables,73.190056,11.53912056,0,,111.7852305,7154.25475
2024-10-28,CAN,ANDROID,RMG,Video,51.2791605,21.29898095,0,,895.3873078,5885.026821
2025-08-04,AUS,IOS,RMG,Statics,0.1407465,10.54863978,,,,497.5164105
2025-03-24,GBR,ANDROID,Sportsbetting,Statics,0.181767,18.62484754,,,87.53678345,1750.735669
2025-04-28,AUS,ANDROID,RMG,Video,31.049317,7.584209976,,,258.031917,14632.07411
2025-03-31,USA,ANDROID,Sportsbetting,Statics,3.096293,138.2507435,0.09090909091,1520.758179,1520.758179,3041.516357
2025-04-21,PHL,IOS,RMG,Video,5.398061,2.404464802,,,26.56697874,5419.663664
2024-11-11,USA,ANDROID,RMG,Statics,2.7631641,18.91107242,0.01984126984,2873.617287,251.7981044,125829.5372
2025-07-14,USA,IOS,RMG,Video,37.22612691,29.29266137,0.0731799746,487.6733088,343.0282088,1122505.005
2024-08-12,BRA,ANDROID,RMG,Statics,0.354143143,1.084145613,,,14.2503216,3279.762484
2024-09-30,DEU,ANDROID,RMG,Video,28.842297,11.24419244,,,291.5223489,7625.811744
2024-09-02,CAN,IOS,RMG,Statics,0.237029714,18.84356203,0.03846153846,289.8219707,297.8388269,7010.913403
