date,os,vertical,country,total_DAU,total_downloads,total_duration_minutes
2024-11-05,ANDROID,Sportsbetting,USA,"1,676,470","41,665","17,127,973"
2024-11-06,IOS,RMG,USA,"589,655","17,942","7,098,629"
2024-11-06,ANDROID,RMG,USA,"646,310","9,079","10,523,220"
2024-11-06,ANDROID,Sportsbetting,USA,"1,566,563","36,880","16,219,844"
2024-11-06,IOS,Sportsbetting,USA,"3,378,764","65,688","34,628,656"
2024-11-07,ANDROID,RMG,USA,"624,858","10,274","10,464,917"
2024-11-07,IOS,RMG,USA,"842,558","20,154","6,185,569"
2024-11-07,ANDROID,Sportsbetting,USA,"1,948,520","40,964","20,157,316"
2024-11-07,IOS,Sportsbetting,USA,"3,668,338","71,984","41,108,081"
2024-11-08,ANDROID,RMG,USA,"599,880","10,123","11,023,553"
2024-11-08,IOS,RMG,USA,"587,654","25,952","7,888,472"
2024-11-08,IOS,Sportsbetting,USA,"3,603,355","110,351","37,476,837"
2024-11-08,ANDROID,Sportsbetting,USA,"1,590,735","50,421","13,983,854"
2024-11-09,ANDROID,RMG,USA,"640,691","18,998","11,001,260"
2024-11-09,IOS,RMG,USA,"645,656","30,907","7,189,088"
2024-11-09,IOS,Sportsbetting,USA,"3,587,803","125,494","41,549,326"
2024-11-09,ANDROID,Sportsbetting,USA,"1,544,756","64,588","15,898,421"
2024-11-10,IOS,RMG,USA,"655,484","27,217","6,352,155"
2024-11-10,ANDROID,RMG,USA,"578,294","12,123","10,717,003"
2024-11-10,ANDROID,Sportsbetting,USA,"2,128,713","30,035","33,968,224"
2024-11-10,IOS,Sportsbetting,USA,"4,396,734","129,543","54,681,568"
2024-11-11,ANDROID,RMG,USA,"553,148","11,461","10,521,442"
2024-11-11,IOS,RMG,USA,"587,878","24,124","5,835,568"
2024-11-11,ANDROID,Sportsbetting,USA,"1,745,339","44,820","16,559,670"
2024-11-11,IOS,Sportsbetting,USA,"4,127,966","111,318","41,798,289"
2024-11-12,IOS,RMG,USA,"611,894","21,056","6,290,280"
2024-11-12,ANDROID,RMG,USA,"607,783","11,209","11,826,832"
2024-11-12,ANDROID,Sportsbetting,USA,"1,587,972","40,252","15,345,815"
2024-11-12,IOS,Sportsbetting,USA,"3,838,541","103,815","36,532,975"
2024-11-13,IOS,RMG,USA,"647,578","25,138","7,832,336"
2024-11-13,ANDROID,RMG,USA,"601,949","9,718","10,934,253"
2024-11-13,IOS,Sportsbetting,USA,"3,433,455","76,906","34,930,098"
2024-11-13,ANDROID,Sportsbetting,USA,"1,476,173","34,148","14,834,601"
2024-11-14,IOS,RMG,USA,"903,425","23,998","6,759,290"
2024-11-14,ANDROID,RMG,USA,"592,338","10,704","10,603,485"
2024-11-14,ANDROID,Sportsbetting,USA,"1,872,969","39,095","18,573,988"
2024-11-14,IOS,Sportsbetting,USA,"3,877,586","99,797","40,766,218"
2024-11-15,ANDROID,RMG,USA,"565,256","13,475","11,096,152"
2024-11-15,IOS,RMG,USA,"635,631","23,095","8,216,939"
2024-11-15,ANDROID,Sportsbetting,USA,"1,523,895","54,078","12,565,005"
2024-11-15,IOS,Sportsbetting,USA,"3,793,953","150,561","36,471,456"
2024-11-16,ANDROID,RMG,USA,"599,485","20,333","11,312,719"
2024-11-16,IOS,RMG,USA,"715,697","39,923","8,014,988"
2024-11-16,IOS,Sportsbetting,USA,"4,483,021","636,646","47,437,873"
2024-11-16,ANDROID,Sportsbetting,USA,"1,470,823","71,351","14,502,318"
2024-11-17,IOS,RMG,USA,"742,306","30,433","6,703,903"
2024-11-17,ANDROID,RMG,USA,"615,501","16,141","9,790,178"
2024-11-17,IOS,Sportsbetting,USA,"4,591,059","343,992","56,543,921"
2024-11-17,ANDROID,Sportsbetting,USA,"2,162,628","70,715","34,699,367"
2024-11-18,ANDROID,RMG,USA,"590,201","11,869","10,128,864"
2024-11-18,IOS,RMG,USA,"652,741","19,936","5,799,174"
2024-11-18,IOS,Sportsbetting,USA,"3,912,764","153,452","39,529,194"
2024-11-18,ANDROID,Sportsbetting,USA,"1,766,527","80,905","16,662,116"
2024-11-19,IOS,RMG,USA,"685,231","28,034","6,171,189"
2024-11-19,ANDROID,RMG,USA,"644,010","10,518","10,729,792"
2024-11-19,ANDROID,Sportsbetting,USA,"1,596,607","69,060","15,445,402"
2024-11-19,IOS,Sportsbetting,USA,"3,614,154","120,237","34,626,327"
2024-11-20,IOS,RMG,USA,"714,803","24,083","7,790,583"
2024-11-20,ANDROID,RMG,USA,"640,145","10,646","10,352,307"
2024-11-20,ANDROID,Sportsbetting,USA,"1,478,061","53,831","14,863,935"
2024-11-20,IOS,Sportsbetting,USA,"3,254,072","113,698","33,363,027"
2024-11-21,IOS,RMG,USA,"1,005,209","24,623","7,084,609"
2024-11-21,ANDROID,RMG,USA,"633,954","12,546","9,748,788"
2024-11-21,IOS,Sportsbetting,USA,"3,670,049","83,346","37,788,614"
