utc_week,country,os,vertical,creative_format,cpm,cpi,ftd_rate,cftd,avg_user_spend,gross_spend_usd,spend_share,unique_bundle_count,,https://moloco.looker.com/explore/ads_bpd_china/fact_dsp_all_joined?qid=kwWfa0cZQn2kEMQOesyzK6,,,WITH main as (WITH fact_dsp_creative AS (
2025-04-07,USA,IOS,RMG,Video,58.69521109,32.60801931,0.06941513022,808.0471481,339.3777494,1422617.409,0.696445952,44,,,,,
2024-10-21,BRA,ANDROID,RMG,Video,11.9743024,2.742773049,,,21.82168806,44241.68038,1,5,,,,,"group by 1,2,3,4,5,6"
2025-03-10,CAN,IOS,RMG,Video,18.06430688,71.76451325,0.05425839128,1598.410642,1133.668889,97022.11507,0.824298299,8,,,,,
2024-09-02,GBR,IOS,RMG,Statics,0.356923714,24.53089313,0.09911489689,194.1348214,213.7366983,106062.952,0.667950611,7,,,,,"),"
2024-09-09,DEU,IOS,RMG,Video,21.23256525,20.92584685,,,295.1992204,30930.02617,0.842113329,4,,,,,cohort as (
2025-02-17,USA,IOS,RMG,Video,53.30011376,25.19883134,0.1057238429,521.4030949,343.1085209,1502503.97,0.68531221,42,,,,,"Select m.*, f.kpi_actions_d7,"
2024-09-30,USA,ANDROID,RMG,Video,80.78919091,17.29825042,0.04789554531,865.4280555,181.6926621,865639.0045,0.857967097,44,,,,,"safe_divide(f.kpi_actions_d7,m.installs) as ftd_rate,"
2024-12-02,USA,ANDROID,RMG,Playables,137.694905,20.30091105,0.03896103896,615.6364621,246.2117677,123403.947,0.314973383,13,,,,,"safe_divide(m.gross_spend_usd,f.kpi_actions_d7) as cftd"
2025-01-20,USA,ANDROID,RMG,Statics,2.764063125,13.90038355,0.1314009662,464.3844728,191.1162982,44340.95048,0.286475264,16,,,,,from main m left join first_purchase f
2025-06-23,DEU,ANDROID,RMG,Video,32.8298658,16.28262143,0,,316.6922946,56036.62652,0.960876797,5,,,,,on m.utc_week = f.utc_week
2024-11-18,USA,ANDROID,RMG,Video,82.70454216,18.8219841,0.06286429465,819.6753602,223.8516767,879247.0029,0.833740154,45,,,,,and m.country = f.country
2024-12-23,GBR,IOS,RMG,Video,13.35355331,34.14169215,0.08613790991,456.7216664,354.4025738,81061.06671,0.485214542,13,,,,,and m.os = f.os
2024-08-19,BRA,ANDROID,RMG,Video,12.18324617,2.685431232,,,18.66800973,43257.26811,1,6,,,,,and m.vertical = f.vertical
2025-05-26,USA,IOS,RMG,Playables,59.67892273,16.60434454,0,,260.6363944,165796.5681,0.533123207,11,,,,,and m.creative_format = f.creative_format
2025-03-31,USA,ANDROID,RMG,Statics,2.127459381,23.18197146,0,,111.6053042,79345.15438,0.249066102,21,,,,,and m.fact_dsp_creative_product_app_market_bundle = f.app_market_bundle
2025-01-20,USA,IOS,RMG,Statics,0.810766821,21.05485319,0.1233655431,273.360199,228.3934838,422131.4396,0.410623767,28,,,,,where m.installs > 0 and gross_spend_usd > 0 )
2025-06-09,GBR,ANDROID,RMG,Video,37.85801772,42.32511245,0.1032728124,937.4357624,508.5894292,104566.135,0.794315928,18,,,,,", cohort2 as ("
2025-01-06,GBR,IOS,RMG,Statics,0.444020583,23.91480039,0.07683427013,136.3605495,182.9901221,64872.45426,0.580864929,12,,,,,"Select utc_week,"
2025-02-10,USA,ANDROID,RMG,Video,66.67366818,15.59348496,0.08257346921,566.5556017,213.6851987,757781.2164,0.826015936,39,,,,,"country,"
2025-04-14,USA,IOS,RMG,Playables,52.6252125,16.4975646,0,,211.1964656,136147.1467,0.292679973,14,,,,,"c.os,"
2024-09-30,USA,IOS,RMG,Statics,0.408112967,24.69550502,0.0863442829,453.045894,305.3793084,353584.9769,0.494959898,30,,,,,"vertical,"
2024-11-25,USA,IOS,RMG,Video,52.47276246,32.96010605,0.09077047213,1256.689115,353.490182,887102.296,0.690764145,37,,,,,"creative_format,"
2025-01-20,USA,IOS,Sportsbetting,Video,10.26482733,75.50283367,0.06636363636,189.6059135,294.8737721,219903.198,0.571136416,3,,,,,"c.fact_dsp_creative_product_app_market_bundle,"
2025-01-27,USA,ANDROID,RMG,Statics,2.412536538,17.92771759,0.1194968553,75.82564689,184.7169396,38577.021,0.315037469,13,,,,,"cpm,"
2025-04-21,USA,ANDROID,RMG,Video,72.08956876,21.09264709,0.07810561781,874.8432603,383.5192508,909387.9011,0.851979568,53,,,,,"cpi,"
2025-04-21,USA,IOS,RMG,Video,50.84281777,31.71284825,0.07908608449,885.9707962,308.6699128,1433782.856,0.711243052,51,,,,,"installs,"
2025-01-06,USA,ANDROID,RMG,Video,66.97630076,16.65417296,0.06157616576,1056.036247,277.1246806,676260.1526,0.815161252,41,,,,,"kpi_actions_d7,"
2025-04-07,USA,IOS,Sportsbetting,Statics,0.6081458,24.86590129,0.06398945789,163.6996147,926.8713487,145652.5717,0.389001375,5,,,,,"gross_spend_usd,"
2025-02-03,USA,IOS,RMG,Statics,0.648031344,24.9420627,0.08144013134,999.8013725,417.9596398,544417.801,0.365311228,32,,,,,"avg_user_spend,"
2025-07-14,DEU,IOS,RMG,Statics,0.184176,29.55399784,0.07516339869,188.3449162,343.5661066,7210.05497,0.492147894,3,,,,,"ftd_rate,"
2024-10-21,GBR,IOS,RMG,Statics,0.373149385,17.58669509,0.0907666319,101.6907727,111.0200336,44080.34152,0.666013192,13,,,,,"cftd as cftd,"
2025-01-20,USA,IOS,Sportsbetting,Statics,0.93958,22.38737444,0.07744215938,39.12386755,135.189175,163990.6667,0.571647688,4,,,,,"sum(gross_spend_usd) over (partition by utc_week,country,c.os,vertical,c.fact_dsp_creative_product_app_market_bundle),"
2025-01-27,USA,IOS,RMG,Video,43.77354037,28.72563621,0.09447976692,901.205853,340.7928257,1483296.634,0.746669352,38,,,,,"safe_divide(sum(gross_spend_usd),sum(gross_spend_usd) over (partition by utc_week,country,c.os,vertical,c.fact_dsp_creative_product_app_market_bundle)) as spend_share"
