date,os,subgenre,format,total_gross_spend,total_installs,avg_cpi,avg_cpm,avg_spend_share,avg_user_spend,count_of_bundles,country
2024-08-22,ANDROID,RMG,Video,18853.70194,1130,19.15320628,54.81504164,0.972753932,1278.394137,4,U.S.
2024-08-22,IOS,Sportsbetting,Video,45810.14412,1468,45.93356063,26.59788841,0.643813713,189.3373809,4,U.S.
2024-08-22,IOS,RMG,Video,32992.86936,792,62.77910039,33.70875757,0.769263526,1523.910581,4,U.S.
2024-08-22,IOS,RMG,Statics,4969.26284,260,55.86291253,0.490596595,0.30337976,48.76430877,3,U.S.
2024-08-23,IOS,Sportsbetting,Playables,1244.988121,84,14.82128716,24.80846726,0.032742534,41.49960403,1,U.S.
2024-08-23,ANDROID,Sportsbetting,Statics,2087.069777,34,62.11847567,1.953645532,0.150730559,,3,U.S.
2024-08-23,ANDROID,Sportsbetting,Video,15097.99722,328,43.00010751,42.93567193,0.848519273,924.564833,3,U.S.
2024-08-23,ANDROID,RMG,Statics,608.1343878,34,21.04242005,1.243641532,0.0417136,,3,U.S.
2024-08-23,IOS,Sportsbetting,Statics,44314.60302,2518,15.44715034,1.679418527,0.465136975,140.254704,5,U.S.
2024-08-23,ANDROID,RMG,Video,18974.9367,1136,19.18396258,56.95901953,0.9687148,911.0322683,4,U.S.
2024-08-23,IOS,Sportsbetting,Video,58571.23556,1850,56.20501084,26.59734447,0.660393148,255.1709456,4,U.S.
2024-08-23,IOS,RMG,Video,35853.45243,800,70.18838008,32.15561597,0.781340507,617.7274153,4,U.S.
2024-08-23,IOS,RMG,Statics,5911.613721,372,48.38521358,0.478654967,0.287915192,421.427763,3,U.S.
2024-08-24,IOS,Sportsbetting,Playables,1557.098578,96,16.21977685,28.44847038,0.027267318,28.83515885,1,U.S.
2024-08-24,ANDROID,Sportsbetting,Statics,2442.937666,32,80.18463183,2.778644998,0.154795752,543.2630931,3,U.S.
2024-08-24,ANDROID,Sportsbetting,Video,16746.32017,360,44.6049538,41.94022025,0.844650444,641.0714018,3,U.S.
2024-08-24,ANDROID,RMG,Statics,711.0236978,38,19.5964404,1.174974762,0.049328902,,3,U.S.
2024-08-24,IOS,Sportsbetting,Statics,50715.87805,3070,15.83231975,1.961157112,0.449895278,95.87100801,5,U.S.
2024-08-24,ANDROID,RMG,Video,18787.52251,1074,18.93945518,55.3952617,0.963003324,820.2852082,4,U.S.
2024-08-24,IOS,Sportsbetting,Video,84973.67097,2578,59.85416693,28.12595502,0.680814073,263.8228419,4,U.S.
2024-08-24,IOS,RMG,Video,34172.13807,674,61.23297736,32.98424036,0.762009236,780.6347042,4,U.S.
2024-08-24,IOS,RMG,Statics,6513.199397,288,73.23301283,0.481174531,0.315078377,450.3789146,3,U.S.
2024-08-25,IOS,Sportsbetting,Playables,1395.350472,66,21.14167382,28.05062867,0.033209373,53.66732586,1,U.S.
