date,os,grouped_category,MAU,DAU,country
2024-03-17,ANDROID,RMG,4675006,830632,U.S.
2024-03-17,IOS,Sportsbetting,12384182,2215246,U.S.
2024-03-17,ANDROID,Sportsbetting,2992123,950247,U.S.
2024-03-18,IOS,RMG,6174160,1083694,U.S.
2024-03-18,ANDROID,RMG,4675006,819149,U.S.
2024-03-18,IOS,Sportsbetting,12384182,2062823,U.S.
2024-03-18,ANDROID,Sportsbetting,2992123,801264,U.S.
2024-03-19,IOS,RMG,6174160,1178239,U.S.
2024-03-19,ANDROID,RMG,4675006,837675,U.S.
2024-03-19,IOS,Sportsbetting,12384182,1870749,U.S.
2024-03-19,ANDROID,Sportsbetting,2992123,718046,U.S.
2024-03-20,IOS,RMG,6174160,1305586,U.S.
2024-03-20,ANDROID,RMG,4675006,860732,U.S.
2024-03-20,IOS,Sportsbetting,12384182,1905811,U.S.
2024-03-20,ANDROID,Sportsbetting,2992123,666561,U.S.
2024-03-21,IOS,RMG,6174160,1292185,U.S.
2024-03-21,ANDROID,RMG,4675006,859306,U.S.
2024-03-21,IOS,Sportsbetting,12384182,1988426,U.S.
2024-03-21,ANDROID,Sportsbetting,2992123,698680,U.S.
2024-03-22,IOS,RMG,6174160,1234673,U.S.
2024-03-22,ANDROID,RMG,4675006,811135,U.S.
2024-03-22,IOS,Sportsbetting,12384182,2044368,U.S.
2024-03-22,ANDROID,Sportsbetting,2992123,705409,U.S.
2024-03-23,IOS,RMG,6174160,1439718,U.S.
2024-03-23,ANDROID,RMG,4675006,884433,U.S.
2024-03-23,IOS,Sportsbetting,12384182,2215079,U.S.
2024-03-23,ANDROID,Sportsbetting,2992123,793733,U.S.
2024-03-24,IOS,RMG,6174160,1475090,U.S.
2024-03-24,ANDROID,RMG,4675006,911712,U.S.
2024-03-24,IOS,Sportsbetting,12384182,2222866,U.S.
2024-03-24,ANDROID,Sportsbetting,2992123,951058,U.S.
2024-03-25,IOS,RMG,6174160,1261152,U.S.
2024-03-25,ANDROID,RMG,4675006,893105,U.S.
2024-03-25,IOS,Sportsbetting,12384182,2007427,U.S.
2024-03-25,ANDROID,Sportsbetting,2992123,788299,U.S.
2024-03-26,IOS,RMG,6174160,1353088,U.S.
2024-03-26,ANDROID,RMG,4675006,934159,U.S.
2024-03-26,IOS,Sportsbetting,12384182,1881757,U.S.
2024-03-26,ANDROID,Sportsbetting,2992123,726511,U.S.
2024-03-27,IOS,RMG,6174160,1491004,U.S.
2024-03-27,ANDROID,RMG,4675006,942003,U.S.
2024-03-27,IOS,Sportsbetting,12384182,1887577,U.S.
2024-03-27,ANDROID,Sportsbetting,2992123,684461,U.S.
2024-03-28,IOS,RMG,6174160,1492688,U.S.
2024-03-28,ANDROID,RMG,4675006,940808,U.S.
2024-03-28,IOS,Sportsbetting,12384182,1955167,U.S.
2024-03-28,ANDROID,Sportsbetting,2992123,701021,U.S.
2024-03-29,IOS,RMG,6174160,1400748,U.S.
2024-03-29,ANDROID,RMG,4675006,886824,U.S.
2024-03-29,IOS,Sportsbetting,12384182,2087439,U.S.
2024-03-29,ANDROID,Sportsbetting,2992123,721662,U.S.
2024-03-30,IOS,RMG,6174160,1646321,U.S.
2024-03-30,ANDROID,RMG,4675006,980444,U.S.
2024-03-30,IOS,Sportsbetting,12384182,2150586,U.S.
2024-03-30,ANDROID,Sportsbetting,2992123,801204,U.S.
2024-03-31,IOS,RMG,6174160,1665550,U.S.
2024-03-31,ANDROID,RMG,4675006,966915,U.S.
2024-03-31,IOS,Sportsbetting,12384182,2126790,U.S.
2024-03-31,ANDROID,Sportsbetting,2992123,915347,U.S.
2024-04-01,ANDROID,RMG,4939002,925850,U.S.
